lr: [0.001]Epoch 1, Train Loss:7.29, Valid_Loss:5.27, Valid_Accuracy:3.75% 
lr: [0.00022387211385683386]Epoch 195, Train Loss:0.53, Valid_Loss:0.87, Valid_Accuracy:83.12% 
lr: [0.00022387211385683386]Epoch 196, Train Loss:1.53, Valid_Loss:0.01, Valid_Accuracy:83.75% 
lr: [0.00022387211385683386]Epoch 197, Train Loss:3.12, Valid_Loss:0.51, Valid_Accuracy:84.38% 
lr: [0.00021877616239495516]Epoch 198, Train Loss:0.73, Valid_Loss:0.51, Valid_Accuracy:85.62% 
lr: [0.00021877616239495516]Epoch 199, Train Loss:1.50, Valid_Loss:0.02, Valid_Accuracy:83.75% 
lr: [0.00021877616239495516]Epoch 200, Train Loss:2.11, Valid_Loss:0.67, Valid_Accuracy:85.62% 
lr: [0.0002137962089502231]Epoch 201, Train Loss:0.51, Valid_Loss:0.81, Valid_Accuracy:82.50% 
lr: [0.0002137962089502231]Epoch 202, Train Loss:0.91, Valid_Loss:0.82, Valid_Accuracy:82.50% 
lr: [0.0002137962089502231]Epoch 203, Train Loss:0.21, Valid_Loss:0.37, Valid_Accuracy:81.88% 
lr: [0.00020892961308540385]Epoch 204, Train Loss:0.02, Valid_Loss:0.92, Valid_Accuracy:85.00% 
lr: [0.00020892961308540385]Epoch 205, Train Loss:0.62, Valid_Loss:0.51, Valid_Accuracy:85.00% 
lr: [0.00020892961308540385]Epoch 206, Train Loss:7.88, Valid_Loss:0.31, Valid_Accuracy:83.75% 
lr: [0.00020417379446695282]Epoch 207, Train Loss:2.08, Valid_Loss:1.50, Valid_Accuracy:84.38% 
lr: [0.00020417379446695282]Epoch 208, Train Loss:8.70, Valid_Loss:0.34, Valid_Accuracy:85.62% 
lr: [0.00020417379446695282]Epoch 209, Train Loss:0.34, Valid_Loss:1.12, Valid_Accuracy:78.75% 
lr: [0.00019952623149688785]Epoch 210, Train Loss:0.43, Valid_Loss:0.63, Valid_Accuracy:85.00% 
lr: [0.00019952623149688785]Epoch 211, Train Loss:2.96, Valid_Loss:1.29, Valid_Accuracy:83.12% 
lr: [0.00019952623149688785]Epoch 212, Train Loss:3.74, Valid_Loss:1.03, Valid_Accuracy:82.50% 
lr: [0.00019498445997580442]Epoch 213, Train Loss:0.75, Valid_Loss:0.87, Valid_Accuracy:80.00% 
lr: [0.00019498445997580442]Epoch 214, Train Loss:2.06, Valid_Loss:0.21, Valid_Accuracy:85.00% 
lr: [0.00019498445997580442]Epoch 215, Train Loss:0.72, Valid_Loss:1.78, Valid_Accuracy:83.12% 
lr: [0.0001905460717963246]Epoch 216, Train Loss:1.04, Valid_Loss:1.55, Valid_Accuracy:83.75% 
lr: [0.0001905460717963246]Epoch 217, Train Loss:0.02, Valid_Loss:1.41, Valid_Accuracy:82.50% 
lr: [0.0001905460717963246]Epoch 218, Train Loss:1.12, Valid_Loss:1.41, Valid_Accuracy:85.62% 
lr: [0.00018620871366628662]Epoch 219, Train Loss:0.29, Valid_Loss:1.17, Valid_Accuracy:85.62% 
lr: [0.00018620871366628662]Epoch 220, Train Loss:0.87, Valid_Loss:0.64, Valid_Accuracy:86.88% 
lr: [0.00018620871366628662]Epoch 221, Train Loss:0.23, Valid_Loss:0.56, Valid_Accuracy:83.12% 
lr: [0.0001819700858609982]Epoch 222, Train Loss:3.72, Valid_Loss:0.49, Valid_Accuracy:83.75% 
lr: [0.0001819700858609982]Epoch 223, Train Loss:0.09, Valid_Loss:0.31, Valid_Accuracy:85.62% 
lr: [0.0001819700858609982]Epoch 224, Train Loss:0.02, Valid_Loss:0.21, Valid_Accuracy:85.62% 
lr: [0.00017782794100389213]Epoch 225, Train Loss:0.45, Valid_Loss:0.92, Valid_Accuracy:83.12% 
lr: [0.00017782794100389213]Epoch 226, Train Loss:0.36, Valid_Loss:0.83, Valid_Accuracy:85.62% 
lr: [0.00017782794100389213]Epoch 227, Train Loss:0.13, Valid_Loss:0.68, Valid_Accuracy:85.00% 
lr: [0.00017378008287493742]Epoch 228, Train Loss:0.03, Valid_Loss:1.86, Valid_Accuracy:87.50% 
lr: [0.00017378008287493742]Epoch 229, Train Loss:7.69, Valid_Loss:0.25, Valid_Accuracy:87.50% 
lr: [0.00017378008287493742]Epoch 230, Train Loss:0.06, Valid_Loss:0.46, Valid_Accuracy:83.12% 
lr: [0.0001698243652461743]Epoch 231, Train Loss:0.01, Valid_Loss:0.19, Valid_Accuracy:87.50% 
lr: [0.0001698243652461743]Epoch 232, Train Loss:1.21, Valid_Loss:2.07, Valid_Accuracy:84.38% 
lr: [0.0001698243652461743]Epoch 233, Train Loss:0.27, Valid_Loss:0.80, Valid_Accuracy:83.75% 
lr: [0.00016595869074375593]Epoch 234, Train Loss:1.72, Valid_Loss:0.32, Valid_Accuracy:87.50% 
