lr: 2.379207076922987e-06Epoch 154, Train Loss:6.18, Valid_Loss:5.89, Valid_Accuracy:84.05% 
lr: 2.3945915384615833e-06Epoch 155, Train Loss:15.49, Valid_Loss:8.01, Valid_Accuracy:85.28% 
lr: 2.4099759999999576e-06Epoch 156, Train Loss:5.55, Valid_Loss:5.39, Valid_Accuracy:84.05% 
lr: 2.4253604615385543e-06Epoch 157, Train Loss:6.26, Valid_Loss:5.09, Valid_Accuracy:85.28% 
lr: 2.4407449230769286e-06Epoch 158, Train Loss:7.55, Valid_Loss:3.25, Valid_Accuracy:87.73% 
lr: 2.4561293846153033e-06Epoch 159, Train Loss:6.64, Valid_Loss:4.18, Valid_Accuracy:87.73% 
lr: 2.4715138461538995e-06Epoch 160, Train Loss:4.64, Valid_Loss:4.21, Valid_Accuracy:88.34% 
lr: 2.4868983076922743e-06Epoch 161, Train Loss:5.33, Valid_Loss:10.32, Valid_Accuracy:84.05% 
lr: 2.5022827692308705e-06Epoch 162, Train Loss:10.57, Valid_Loss:5.34, Valid_Accuracy:88.34% 
lr: 2.5176672307692452e-06Epoch 163, Train Loss:3.64, Valid_Loss:5.55, Valid_Accuracy:84.05% 
lr: 2.5330516923076195e-06Epoch 164, Train Loss:6.97, Valid_Loss:6.11, Valid_Accuracy:84.66% 
lr: 2.548436153846216e-06Epoch 165, Train Loss:8.04, Valid_Loss:8.22, Valid_Accuracy:85.89% 
lr: 2.5638206153845905e-06Epoch 166, Train Loss:8.48, Valid_Loss:3.89, Valid_Accuracy:87.12% 
lr: 2.5792050769231867e-06Epoch 167, Train Loss:3.38, Valid_Loss:7.19, Valid_Accuracy:87.73% 
lr: 2.5945895384615614e-06Epoch 168, Train Loss:8.85, Valid_Loss:4.26, Valid_Accuracy:93.25% 
lr: 2.6099739999999358e-06Epoch 169, Train Loss:6.90, Valid_Loss:5.39, Valid_Accuracy:92.02% 
lr: 2.6253584615385324e-06Epoch 170, Train Loss:6.29, Valid_Loss:8.91, Valid_Accuracy:90.18% 
lr: 2.6407429230769067e-06Epoch 171, Train Loss:13.17, Valid_Loss:3.64, Valid_Accuracy:90.80% 
lr: 2.656127384615281e-06Epoch 172, Train Loss:4.83, Valid_Loss:5.86, Valid_Accuracy:90.80% 
lr: 2.6715118461538777e-06Epoch 173, Train Loss:5.20, Valid_Loss:8.21, Valid_Accuracy:84.66% 
lr: 2.686896307692252e-06Epoch 174, Train Loss:9.57, Valid_Loss:4.36, Valid_Accuracy:86.50% 
lr: 2.7022807692308486e-06Epoch 175, Train Loss:6.73, Valid_Loss:2.32, Valid_Accuracy:90.18% 
lr: 2.717665230769223e-06Epoch 176, Train Loss:5.54, Valid_Loss:5.25, Valid_Accuracy:89.57% 
lr: 2.7330496923075977e-06Epoch 177, Train Loss:6.54, Valid_Loss:2.39, Valid_Accuracy:87.12% 
lr: 2.748434153846194e-06Epoch 178, Train Loss:4.48, Valid_Loss:9.35, Valid_Accuracy:87.73% 
lr: 2.7638186153845686e-06Epoch 179, Train Loss:5.69, Valid_Loss:4.16, Valid_Accuracy:88.96% 
lr: 2.779203076923165e-06Epoch 180, Train Loss:4.04, Valid_Loss:5.54, Valid_Accuracy:90.18% 
lr: 2.794587538461539e-06Epoch 181, Train Loss:7.46, Valid_Loss:3.24, Valid_Accuracy:92.02% 
