lr: [0.001]Epoch 1, Train Loss:4.06, Valid_Loss:3.77, Valid_Accuracy:11.34% 
lr: [0.0002691534803926915]Epoch 173, Train Loss:0.00, Valid_Loss:0.02, Valid_Accuracy:93.29% 
lr: [0.00026302679918953814]Epoch 174, Train Loss:0.00, Valid_Loss:0.10, Valid_Accuracy:93.75% 
lr: [0.00026302679918953814]Epoch 175, Train Loss:0.05, Valid_Loss:0.12, Valid_Accuracy:93.52% 
lr: [0.00026302679918953814]Epoch 176, Train Loss:0.02, Valid_Loss:0.17, Valid_Accuracy:93.52% 
lr: [0.0002570395782768863]Epoch 177, Train Loss:0.00, Valid_Loss:0.69, Valid_Accuracy:93.52% 
lr: [0.0002570395782768863]Epoch 178, Train Loss:0.21, Valid_Loss:0.79, Valid_Accuracy:93.98% 
lr: [0.0002570395782768863]Epoch 179, Train Loss:0.00, Valid_Loss:0.22, Valid_Accuracy:94.21% 
lr: [0.00025118864315095795]Epoch 180, Train Loss:0.00, Valid_Loss:0.06, Valid_Accuracy:94.44% 
lr: [0.00025118864315095795]Epoch 181, Train Loss:0.00, Valid_Loss:0.31, Valid_Accuracy:93.75% 
lr: [0.00025118864315095795]Epoch 182, Train Loss:0.00, Valid_Loss:0.03, Valid_Accuracy:92.36% 
lr: [0.00024547089156850296]Epoch 183, Train Loss:0.00, Valid_Loss:0.56, Valid_Accuracy:93.06% 
lr: [0.00024547089156850296]Epoch 184, Train Loss:0.00, Valid_Loss:0.25, Valid_Accuracy:94.21% 
lr: [0.00024547089156850296]Epoch 185, Train Loss:0.00, Valid_Loss:0.00, Valid_Accuracy:93.29% 
lr: [0.00023988329190194896]Epoch 186, Train Loss:0.00, Valid_Loss:0.07, Valid_Accuracy:93.29% 
lr: [0.00023988329190194896]Epoch 187, Train Loss:0.19, Valid_Loss:0.06, Valid_Accuracy:93.29% 
lr: [0.00023988329190194896]Epoch 188, Train Loss:0.00, Valid_Loss:0.29, Valid_Accuracy:93.52% 
lr: [0.00023442288153199212]Epoch 189, Train Loss:0.00, Valid_Loss:0.34, Valid_Accuracy:93.98% 
lr: [0.00023442288153199212]Epoch 190, Train Loss:0.02, Valid_Loss:0.24, Valid_Accuracy:94.44% 
lr: [0.00023442288153199212]Epoch 191, Train Loss:0.00, Valid_Loss:0.01, Valid_Accuracy:94.21% 
lr: [0.0002290867652767772]Epoch 192, Train Loss:0.00, Valid_Loss:0.30, Valid_Accuracy:95.37% 
lr: [0.0002290867652767772]Epoch 193, Train Loss:0.00, Valid_Loss:0.16, Valid_Accuracy:93.06% 
lr: [0.0002290867652767772]Epoch 194, Train Loss:0.00, Valid_Loss:1.74, Valid_Accuracy:94.44% 
lr: [0.00022387211385683386]Epoch 195, Train Loss:0.00, Valid_Loss:0.20, Valid_Accuracy:94.44% 
lr: [0.00022387211385683386]Epoch 196, Train Loss:0.00, Valid_Loss:0.20, Valid_Accuracy:94.21% 
lr: [0.00022387211385683386]Epoch 197, Train Loss:0.00, Valid_Loss:0.00, Valid_Accuracy:95.83% 
lr: [0.00021877616239495516]Epoch 198, Train Loss:0.00, Valid_Loss:0.02, Valid_Accuracy:95.14% 
lr: [0.00021877616239495516]Epoch 199, Train Loss:0.15, Valid_Loss:0.69, Valid_Accuracy:94.68% 
lr: [0.00021877616239495516]Epoch 200, Train Loss:0.00, Valid_Loss:0.38, Valid_Accuracy:94.21% 
lr: [0.0002137962089502231]Epoch 201, Train Loss:0.00, Valid_Loss:0.05, Valid_Accuracy:94.68% 
lr: [0.0002137962089502231]Epoch 202, Train Loss:0.00, Valid_Loss:0.04, Valid_Accuracy:93.98% 
lr: [0.0002137962089502231]Epoch 203, Train Loss:0.00, Valid_Loss:0.23, Valid_Accuracy:93.98% 
lr: [0.00020892961308540385]Epoch 204, Train Loss:0.00, Valid_Loss:0.19, Valid_Accuracy:93.75% 
lr: [0.00020892961308540385]Epoch 205, Train Loss:0.00, Valid_Loss:0.30, Valid_Accuracy:94.21% 
lr: [0.00020892961308540385]Epoch 206, Train Loss:0.00, Valid_Loss:0.02, Valid_Accuracy:94.68% 
lr: [0.00020417379446695282]Epoch 207, Train Loss:0.00, Valid_Loss:0.04, Valid_Accuracy:93.98% 
lr: [0.00020417379446695282]Epoch 208, Train Loss:0.06, Valid_Loss:0.22, Valid_Accuracy:94.44% 
lr: [0.00020417379446695282]Epoch 209, Train Loss:0.00, Valid_Loss:0.20, Valid_Accuracy:94.21% 
lr: [0.00019952623149688785]Epoch 210, Train Loss:0.43, Valid_Loss:0.22, Valid_Accuracy:94.91% 
lr: [0.00019952623149688785]Epoch 211, Train Loss:0.20, Valid_Loss:0.42, Valid_Accuracy:93.98% 
lr: [0.00019952623149688785]Epoch 212, Train Loss:0.00, Valid_Loss:0.10, Valid_Accuracy:95.37% 
lr: [0.00019498445997580442]Epoch 213, Train Loss:0.00, Valid_Loss:0.07, Valid_Accuracy:94.68% 
lr: [0.00019498445997580442]Epoch 214, Train Loss:0.12, Valid_Loss:0.01, Valid_Accuracy:94.44% 
lr: [0.00019498445997580442]Epoch 215, Train Loss:0.00, Valid_Loss:0.23, Valid_Accuracy:93.06% 
lr: [0.0001905460717963246]Epoch 216, Train Loss:0.00, Valid_Loss:0.02, Valid_Accuracy:95.37% 
lr: [0.0001905460717963246]Epoch 217, Train Loss:0.00, Valid_Loss:0.00, Valid_Accuracy:94.21% 
lr: [0.0001905460717963246]Epoch 218, Train Loss:0.00, Valid_Loss:0.00, Valid_Accuracy:95.60% 
lr: [0.00018620871366628662]Epoch 219, Train Loss:0.00, Valid_Loss:0.62, Valid_Accuracy:94.68% 
lr: [0.00018620871366628662]Epoch 220, Train Loss:0.00, Valid_Loss:0.11, Valid_Accuracy:94.91% 
lr: [0.00018620871366628662]Epoch 221, Train Loss:0.00, Valid_Loss:0.13, Valid_Accuracy:95.60% 
lr: [0.0001819700858609982]Epoch 222, Train Loss:0.00, Valid_Loss:0.00, Valid_Accuracy:93.75% 
lr: [0.0001819700858609982]Epoch 223, Train Loss:0.00, Valid_Loss:0.96, Valid_Accuracy:94.68% 
lr: [0.0001819700858609982]Epoch 224, Train Loss:0.00, Valid_Loss:0.03, Valid_Accuracy:96.30% 
lr: [0.00017782794100389213]Epoch 225, Train Loss:0.00, Valid_Loss:0.49, Valid_Accuracy:93.52% 
lr: [0.00017782794100389213]Epoch 226, Train Loss:0.00, Valid_Loss:1.01, Valid_Accuracy:93.98% 
lr: [0.00017782794100389213]Epoch 227, Train Loss:0.00, Valid_Loss:0.70, Valid_Accuracy:93.75% 
lr: [0.00017378008287493742]Epoch 228, Train Loss:0.00, Valid_Loss:0.25, Valid_Accuracy:95.37% 
lr: [0.00017378008287493742]Epoch 229, Train Loss:0.00, Valid_Loss:0.40, Valid_Accuracy:94.21% 
lr: [0.00017378008287493742]Epoch 230, Train Loss:0.35, Valid_Loss:0.16, Valid_Accuracy:93.52% 
lr: [0.0001698243652461743]Epoch 231, Train Loss:0.00, Valid_Loss:0.00, Valid_Accuracy:94.68% 
lr: [0.0001698243652461743]Epoch 232, Train Loss:0.00, Valid_Loss:0.24, Valid_Accuracy:93.75% 
lr: [0.0001698243652461743]Epoch 233, Train Loss:0.00, Valid_Loss:0.35, Valid_Accuracy:93.52% 
lr: [0.00016595869074375593]Epoch 234, Train Loss:0.00, Valid_Loss:0.01, Valid_Accuracy:95.14% 
