lr: 2.9022787692308267e-06Epoch 188, Train Loss:2.83, Valid_Loss:4.36, Valid_Accuracy:94.13% 
lr: 2.917663230769201e-06Epoch 189, Train Loss:3.62, Valid_Loss:3.41, Valid_Accuracy:94.46% 
lr: 2.9330476923077977e-06Epoch 190, Train Loss:0.31, Valid_Loss:3.45, Valid_Accuracy:94.97% 
lr: 2.948432153846172e-06Epoch 191, Train Loss:0.60, Valid_Loss:2.40, Valid_Accuracy:94.13% 
lr: 2.9638166153845463e-06Epoch 192, Train Loss:2.97, Valid_Loss:3.09, Valid_Accuracy:93.62% 
lr: 2.979201076923143e-06Epoch 193, Train Loss:1.05, Valid_Loss:2.71, Valid_Accuracy:94.63% 
lr: 2.9945855384615173e-06Epoch 194, Train Loss:0.59, Valid_Loss:2.81, Valid_Accuracy:94.97% 
lr: 3.0099699999998916e-06Epoch 195, Train Loss:1.95, Valid_Loss:5.55, Valid_Accuracy:93.29% 
lr: 3.0253544615384882e-06Epoch 196, Train Loss:1.65, Valid_Loss:5.22, Valid_Accuracy:94.46% 
lr: 3.0407389230768625e-06Epoch 197, Train Loss:4.03, Valid_Loss:3.16, Valid_Accuracy:95.30% 
lr: 3.056123384615459e-06Epoch 198, Train Loss:0.36, Valid_Loss:4.35, Valid_Accuracy:95.47% 
lr: 3.0715078461538335e-06Epoch 199, Train Loss:0.38, Valid_Loss:2.69, Valid_Accuracy:94.46% 
lr: 3.0868923076922082e-06Epoch 200, Train Loss:1.37, Valid_Loss:5.21, Valid_Accuracy:94.30% 
lr: 3.1022767692308044e-06Epoch 201, Train Loss:1.60, Valid_Loss:2.06, Valid_Accuracy:94.46% 
lr: 3.117661230769179e-06Epoch 202, Train Loss:0.36, Valid_Loss:7.16, Valid_Accuracy:96.14% 
lr: 3.1330456923077754e-06Epoch 203, Train Loss:3.19, Valid_Loss:3.23, Valid_Accuracy:95.64% 
lr: 3.14843015384615e-06Epoch 204, Train Loss:0.32, Valid_Loss:2.26, Valid_Accuracy:94.30% 
lr: 3.1638146153845244e-06Epoch 205, Train Loss:1.42, Valid_Loss:2.04, Valid_Accuracy:94.46% 
lr: 3.179199076923121e-06Epoch 206, Train Loss:0.20, Valid_Loss:3.32, Valid_Accuracy:94.46% 
lr: 3.1945835384614954e-06Epoch 207, Train Loss:0.40, Valid_Loss:1.59, Valid_Accuracy:93.79% 
lr: 3.2099680000000916e-06Epoch 208, Train Loss:1.89, Valid_Loss:2.65, Valid_Accuracy:93.96% 
lr: 3.2253524615384664e-06Epoch 209, Train Loss:0.68, Valid_Loss:1.05, Valid_Accuracy:94.13% 
lr: 3.2407369230768407e-06Epoch 210, Train Loss:0.67, Valid_Loss:4.21, Valid_Accuracy:93.46% 
